Country	Agriculture	Automotive and Transport	Chemicals	Construction	Consumer Goods	Electronics and IT	Financial Services	Food	Machinery	Metals	Paper	Pharmaceuticals	Services	Steel	Textiles
Belgium	3.0	4.0	2.0	3.0	4.0	3.0	2.0	2.0	3.0	3.0	4.0	2.0	4.0	3.0	4.0
Denmark	3.0	2.0	2.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	4.0	3.0	4.0
Germany	2.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	4.0	2.0	4.0
France	2.0	3.0	2.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	3.0	3.0	4.0
United Kingdom	3.0	3.0	2.0	4.0	4.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	4.0	2.0	4.0
Ireland	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	1.0	3.0	2.0	3.0
Italy	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0
Netherlands	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	4.0	2.0	2.0	3.0	3.0	4.0
Austria	3.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	4.0	2.0	4.0
Poland	2.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0
Portugal	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0
Sweden	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	4.0	3.0	4.0
Switzerland	3.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	4.0
Slovakia	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	3.0
Spain	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0
Czech Republic	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0
Turkey	3.0	3.0	2.0	4.0	3.0	3.0	2.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0
Hungary	2.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	4.0	2.0	3.0
China	1.0	2.0	2.0	3.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0	3.0
Hong Kong	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0
India	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0
Indonesia	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0
Japan	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0
Singapore	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0
Taiwan	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0
Thailand	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0
United Arab Emirates	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0
Canada	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	4.0
United States of America	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0
Brazil	2.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0
Mexico	3.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	3.0
